Rk,Player,Position,Team,Salary,Salary,Salary,Salary,Salary,Salary,Signed Using,Option,Option Year,Guaranteed,Photo
121,Iman Shumpert,SG,SAC,10337079,11011234,,,,,Bird Rights,Player,2018,10337079,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6468.png&w=350&h=254
122,Maurice Harkless,SF,POR,10162922,10837079,11511234,,,,Cap Space,,,32511235,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6591.png&w=350&h=254
123,Jared Dudley,SF,PHX,10000000,9530000,,,,,Cap Space,,,19530000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3201.png&w=350&h=254
124,Darren Collison,PG,IND,10000000,10000000,,,,,Cap space,,,12000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3973.png&w=350&h=254
125,Danny Green,SG,SAS,10000000,10000000,,,,,Bird Rights,Player,2018,10000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3988.png&w=350&h=254
126,Meyers Leonard,C,POR,9904495,10595506,11286515,,,,Cap Space,,,31786516,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6605.png&w=350&h=254
127,Tony Snell,SF,MIL,9821429,10607143,11392857,12178571,,,Cap space,Player,2020,31821429,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528353.png&w=350&h=254
128,Al Jefferson,C,IND,9769821,10000000,,,,,Cap Space,,,13769821,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2389.png&w=350&h=254
129,Matthew Dellavedova,SG,MIL,9607500,9607500,9607500,,,,Cap Space,,,28822500,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2489716.png&w=350&h=254
130,Joe Johnson,SF,HOU,749905,,,,,,,,,749905,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1007.png&w=350&h=254
131,Bogdan Bogdanovic,SG,SAC,9470614,9000000,8529386,,,,Cap space,Team,2020,27000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3037789.png&w=350&h=254
132,Andre Roberson,SG,OKC,9259259,10000000,10740741,,,,Bird Rights,,,30000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2530596.png&w=350&h=254
133,Trevor Booker,PF,IND,9125000,,,,,,Cap Space,,,9125000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4270.png&w=350&h=254
134,Dwight Powell,PF,DAL,9003125,9631250,10259375,,,,Cap Space,Player,2019,18634375,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2531367.png&w=350&h=254
